Country,Year,Population,GDP,LifeExpectancy
Canada,2001,1125711847,18327284731229,72.39
Canada,2002,1142870673,19487658658313,72.57
Canada,2003,1174656719,19944799911486,72.83
Canada,2004,1197271026,20320974093914,72.57
Canada,2005,1144744856,22067400287366,73.39
Canada,2006,1222312734,20937344671716,72.79
Canada,2007,1155494961,22102318464275,73.84
Canada,2008,1214940922,23241828736816,74.83
Canada,2009,1220967859,24496137688976,74.85
Canada,2010,1242323006,26169462494450,75.4
Canada,2011,1374041859,23349201957665,75.95
Canada,2012,1291449437,24870593781434,74.62
Canada,2013,1435786618,27929698610183,74.32
Canada,2014,1362951914,26076293920485,73.45
Canada,2015,1235821150,25499989500424,73.88
Canada,2016,1247343007,33144505063883,74.14
Canada,2017,1323614072,39035883479803,75.76
Canada,2018,1456925844,28013848605103,74.46
Canada,2019,1239175123,28664945759139,75.08
Canada,2020,1297730120,28033955971193,74.29
Australia,2000,896196569,13488977588769,62.57
Australia,2001,907145564,14037082519588,62.77
Australia,2002,909427496,14347119517469,62.7
Australia,2003,945535824,14421626042923,63.21
Australia,2004,969288007,15544684221904,63.76
Australia,2005,935131482,16633412578038,63.56
Australia,2006,984628461,15358667675986,63.17
Australia,2007,941021987,17824177718023,64.52
Australia,2008,1019501960,15918160108071,64.85
Australia,2009,982887140,17896744582714,63.38
Australia,2010,1050996887,17346119993274,64.64
Australia,2011,1085928808,17262287482479,64.77
Australia,2012,991984861,19296642447763,64.78
Australia,2013,1024250804,22310311940168,64.99
Australia,2014,1085208884,24029118964264,65.47
Australia,2015,1100715117,23240433448288,64.98
Australia,2016,1051888609,28122617187136,66.1
Australia,2017,1037776008,24187444012854,65.09
Australia,2018,1257708052,19342572718735,64.75
Australia,2019,1092528749,25759032834769,68.02
Australia,2020,1016508021,32022315105661,64.12
