CustomerID,Satisfaction
601,8
602,5
603,1
604,5
605,4
606,5
607,3
608,10
609,3
610,8
611,5
612,6
613,1
614,5
615,3
616,8
617,4
618,2
619,4
620,6
621,5
622,2
623,4
624,8
625,7
626,9
627,6
628,10
629,9
630,8
631,1
632,7
633,5
634,10
635,8
636,6
637,10
638,10
639,5
640,2
641,10
642,8
643,6
644,9
645,5
646,2
647,1
648,9
649,7
650,2
651,3
652,7
653,7
654,5
655,8
656,8
657,8
658,7
659,3
660,8
661,6
662,2
663,5
664,2
665,2
666,5
667,1
668,1
669,9
670,4
671,8
672,5
673,10
674,5
675,7
676,1
677,9
678,7
679,6
680,6
681,3
682,4
683,3
684,3
685,7
686,5
687,9
688,1
689,9
690,2
691,3
692,10
693,1
694,2
695,5
696,10
697,8
698,4
699,2
700,9
701,10
702,2
703,9
704,3
705,5
706,5
707,8
708,6
709,3
710,9
711,2
712,10
713,5
714,1
715,8
716,8
717,9
718,6
719,4
720,6
721,10
722,9
723,7
724,1
725,9
726,2
727,9
728,2
729,6
730,9
731,5
732,5
733,4
734,2
735,6
736,9
737,4
738,7
739,9
740,8
741,9
742,8
743,3
744,6
745,10
746,8
747,4
748,5
749,8
750,9
751,7
752,4
753,8
754,7
755,10
756,4
757,8
758,9
759,10
760,6
761,7
762,7
763,3
764,1
765,1
766,9
767,4
768,7
769,3
770,8
771,5
772,8
773,6
774,8
775,1
776,6
777,3
778,8
779,8
780,4
781,6
782,4
783,6
784,3
785,3
786,2
787,5
788,6
789,3
790,8
791,2
792,10
793,8
794,4
795,1
796,7
797,4
798,4
799,4
800,4
801,4
802,10
803,4
804,6
805,1
806,3
807,10
808,4
809,9
810,5
811,5
812,5
813,3
814,7
815,10
816,6
817,3
818,2
819,3
820,10
821,7
822,8
823,8
824,8
825,4
826,9
827,7
828,9
829,4
830,3
831,5
832,3
833,4
834,4
835,4
836,4
837,3
838,3
839,4
840,10
841,2
842,7
843,5
844,7
845,1
846,2
847,2
848,1
849,4
850,10
851,7
852,7
853,9
854,6
855,8
856,4
857,8
858,8
859,10
860,8
861,2
862,9
863,10
864,6
865,3
866,7
867,6
868,5
869,6
870,4
871,10
872,2
873,1
874,1
875,9
876,8
877,5
878,1
879,2
880,5
881,9
882,8
883,2
884,5
885,2
886,4
887,6
888,8
889,5
890,10
891,10
892,6
893,9
894,10
895,6
896,7
897,10
898,7
899,4
900,8
901,6
902,7
903,8
904,8
905,10
906,4
907,3
908,5
909,4
910,3
911,1
912,2
913,9
914,8
915,3
916,7
917,1
918,9
919,2
920,10
921,6
922,10
923,6
924,1
925,10
926,5
927,4
928,10
929,8
930,5
931,1
932,9
933,9
934,2
935,4
936,2
937,10
938,1
939,7
940,8
941,3
942,10
943,4
944,9
945,5
946,1
947,10
948,1
949,5
950,3
951,8
952,4
953,7
954,3
955,7
956,6
957,9
958,8
959,8
960,10
961,7
962,2
963,9
964,5
965,9
966,6
967,1
968,3
969,3
970,6
971,4
972,1
973,5
974,10
975,5
976,3
977,10
978,5
979,2
980,10
981,6
982,9
983,3
984,1
985,4
986,8
987,3
988,2
989,9
990,9
991,8
992,9
993,6
994,2
995,4
996,7
997,3
998,5
999,6
1000,4
