Region,Product,Price,Quantity,Date
East,Product C,26,16,2023-12-11
East,Product C,62,10,2023-12-12
East,Product C,17,13,2023-12-13
West,Product C,88,6,2023-12-14
West,Product D,36,12,2023-12-15
East,Product A,55,9,2023-12-16
West,Product D,59,13,2023-12-17
North,Product D,80,4,2023-12-18
North,Product C,12,11,2023-12-19
West,Product B,73,18,2023-12-20
West,Product B,53,11,2023-12-21
East,Product D,62,4,2023-12-22
South,Product D,33,18,2023-12-23
West,Product C,69,1,2023-12-24
North,Product D,12,7,2023-12-25
East,Product C,29,6,2023-12-26
West,Product B,55,15,2023-12-27
North,Product B,24,18,2023-12-28
North,Product A,34,11,2023-12-29
South,Product B,87,15,2023-12-30
East,Product D,80,16,2023-12-31
East,Product B,26,7,2024-01-01
South,Product C,93,10,2024-01-02
South,Product B,18,12,2024-01-03
East,Product A,47,14,2024-01-04
East,Product B,57,5,2024-01-05
West,Product C,69,18,2024-01-06
West,Product C,72,5,2024-01-07
South,Product D,95,3,2024-01-08
West,Product B,11,5,2024-01-09
North,Product C,97,17,2024-01-10
West,Product A,81,19,2024-01-11
West,Product D,20,19,2024-01-12
North,Product A,73,12,2024-01-13
South,Product B,86,9,2024-01-14
North,Product B,90,1,2024-01-15
West,Product B,81,18,2024-01-16
South,Product D,30,4,2024-01-17
West,Product C,27,10,2024-01-18
North,Product D,73,7,2024-01-19
North,Product A,91,1,2024-01-20
West,Product D,47,17,2024-01-21
East,Product A,41,2,2024-01-22
East,Product D,20,11,2024-01-23
North,Product C,54,9,2024-01-24
North,Product A,98,7,2024-01-25
East,Product B,42,17,2024-01-26
East,Product B,50,17,2024-01-27
West,Product D,17,2,2024-01-28
West,Product B,20,6,2024-01-29
East,Product A,95,14,2024-01-30
West,Product B,60,6,2024-01-31
West,Product C,97,2,2024-02-01
South,Product C,50,1,2024-02-02
West,Product D,26,10,2024-02-03
North,Product A,85,5,2024-02-04
West,Product C,55,2,2024-02-05
West,Product C,41,16,2024-02-06
East,Product A,88,2,2024-02-07
North,Product B,89,10,2024-02-08
West,Product B,63,2,2024-02-09
West,Product D,95,16,2024-02-10
South,Product B,29,16,2024-02-11
West,Product A,42,19,2024-02-12
West,Product C,83,7,2024-02-13
South,Product B,49,12,2024-02-14
East,Product D,41,15,2024-02-15
West,Product B,11,8,2024-02-16
South,Product A,42,6,2024-02-17
North,Product D,86,10,2024-02-18
East,Product B,39,3,2024-02-19
North,Product D,42,19,2024-02-20
North,Product A,86,17,2024-02-21
South,Product C,35,7,2024-02-22
West,Product A,31,4,2024-02-23
South,Product A,75,14,2024-02-24
South,Product A,47,15,2024-02-25
South,Product A,99,8,2024-02-26
South,Product C,55,15,2024-02-27
East,Product C,24,14,2024-02-28
West,Product D,53,9,2024-02-29
North,Product B,58,8,2024-03-01
North,Product C,84,17,2024-03-02
West,Product C,70,2,2024-03-03
North,Product B,76,3,2024-03-04
West,Product C,15,8,2024-03-05
North,Product A,18,12,2024-03-06
South,Product A,15,1,2024-03-07
North,Product B,82,10,2024-03-08
West,Product D,41,3,2024-03-09
West,Product D,50,6,2024-03-10
West,Product B,85,7,2024-03-11
West,Product B,17,18,2024-03-12
West,Product A,81,11,2024-03-13
East,Product D,59,19,2024-03-14
East,Product C,71,5,2024-03-15
North,Product A,93,19,2024-03-16
West,Product B,71,11,2024-03-17
North,Product D,16,12,2024-03-18
West,Product C,84,10,2024-03-19
West,Product C,93,8,2024-03-20
East,Product A,89,9,2024-03-21
East,Product D,13,4,2024-03-22
South,Product D,15,5,2024-03-23
East,Product B,67,8,2024-03-24
South,Product D,31,9,2024-03-25
South,Product D,35,15,2024-03-26
South,Product A,12,15,2024-03-27
South,Product D,50,16,2024-03-28
South,Product C,69,14,2024-03-29
North,Product A,23,8,2024-03-30
East,Product A,84,18,2024-03-31
South,Product B,91,10,2024-04-01
West,Product D,21,6,2024-04-02
East,Product B,96,12,2024-04-03
East,Product C,21,2,2024-04-04
South,Product A,22,7,2024-04-05
North,Product A,34,16,2024-04-06
South,Product A,54,3,2024-04-07
North,Product C,28,13,2024-04-08
West,Product C,64,3,2024-04-09
East,Product B,54,18,2024-04-10
West,Product B,17,11,2024-04-11
North,Product B,62,8,2024-04-12
North,Product D,64,6,2024-04-13
West,Product A,41,1,2024-04-14
North,Product A,60,1,2024-04-15
West,Product B,53,8,2024-04-16
East,Product A,91,5,2024-04-17
West,Product B,79,16,2024-04-18
East,Product D,27,11,2024-04-19
West,Product D,92,5,2024-04-20
North,Product C,31,4,2024-04-21
West,Product D,46,6,2024-04-22
North,Product B,65,14,2024-04-23
West,Product D,68,19,2024-04-24
West,Product C,12,9,2024-04-25
South,Product A,37,12,2024-04-26
North,Product B,83,11,2024-04-27
South,Product A,44,14,2024-04-28
North,Product C,70,16,2024-04-29
South,Product C,63,1,2024-04-30
East,Product C,72,13,2024-05-01
West,Product A,88,13,2024-05-02
North,Product A,16,2,2024-05-03
North,Product A,85,4,2024-05-04
West,Product A,58,6,2024-05-05
North,Product C,94,5,2024-05-06
North,Product C,40,3,2024-05-07
South,Product B,67,1,2024-05-08
North,Product B,70,4,2024-05-09
East,Product A,33,2,2024-05-10
East,Product D,29,5,2024-05-11
West,Product D,46,3,2024-05-12
North,Product C,13,9,2024-05-13
West,Product C,29,6,2024-05-14
East,Product C,69,18,2024-05-15
North,Product B,33,6,2024-05-16
North,Product B,59,19,2024-05-17
West,Product C,58,12,2024-05-18
East,Product C,60,11,2024-05-19
North,Product C,45,2,2024-05-20
West,Product D,75,15,2024-05-21
East,Product B,88,12,2024-05-22
West,Product D,43,12,2024-05-23
South,Product D,45,9,2024-05-24
North,Product C,15,2,2024-05-25
South,Product C,48,3,2024-05-26
East,Product A,51,12,2024-05-27
South,Product A,67,16,2024-05-28
South,Product D,21,1,2024-05-29
East,Product B,12,3,2024-05-30
West,Product C,27,2,2024-05-31
South,Product C,49,9,2024-06-01
West,Product D,30,19,2024-06-02
South,Product A,24,15,2024-06-03
West,Product B,35,18,2024-06-04
East,Product A,17,11,2024-06-05
South,Product A,96,16,2024-06-06
East,Product A,51,17,2024-06-07
South,Product A,53,5,2024-06-08
East,Product C,23,12,2024-06-09
East,Product C,87,11,2024-06-10
South,Product A,11,15,2024-06-11
South,Product B,46,3,2024-06-12
South,Product D,78,1,2024-06-13
North,Product B,47,16,2024-06-14
West,Product B,50,2,2024-06-15
North,Product B,71,2,2024-06-16
North,Product A,69,3,2024-06-17
East,Product C,23,8,2024-06-18
South,Product B,98,15,2024-06-19
West,Product A,93,7,2024-06-20
East,Product B,11,6,2024-06-21
North,Product B,79,9,2024-06-22
South,Product A,26,1,2024-06-23
East,Product C,98,8,2024-06-24
South,Product C,37,3,2024-06-25
East,Product D,75,4,2024-06-26
South,Product A,44,15,2024-06-27
North,Product D,14,6,2024-06-28
West,Product D,74,15,2024-06-29
North,Product D,49,3,2024-06-30
West,Product C,85,14,2024-07-01
South,Product A,65,14,2024-07-02
East,Product D,45,4,2024-07-03
North,Product A,54,12,2024-07-04
West,Product A,32,17,2024-07-05
North,Product C,56,7,2024-07-06
West,Product D,40,9,2024-07-07
North,Product D,20,3,2024-07-08
West,Product A,19,13,2024-07-09
West,Product B,76,15,2024-07-10
South,Product C,23,18,2024-07-11
West,Product C,89,19,2024-07-12
South,Product C,83,1,2024-07-13
West,Product C,19,6,2024-07-14
East,Product D,85,2,2024-07-15
East,Product D,10,14,2024-07-16
East,Product B,14,6,2024-07-17
West,Product C,29,14,2024-07-18
South,Product C,17,4,2024-07-19
South,Product A,52,8,2024-07-20
West,Product D,85,3,2024-07-21
East,Product C,10,19,2024-07-22
East,Product B,66,14,2024-07-23
South,Product B,73,17,2024-07-24
East,Product D,93,8,2024-07-25
North,Product B,37,14,2024-07-26
South,Product B,46,6,2024-07-27
East,Product D,56,16,2024-07-28
South,Product C,85,19,2024-07-29
North,Product C,46,14,2024-07-30
South,Product B,58,19,2024-07-31
South,Product B,53,3,2024-08-01
South,Product C,65,10,2024-08-02
South,Product D,37,19,2024-08-03
North,Product B,88,9,2024-08-04
West,Product A,15,13,2024-08-05
South,Product D,70,7,2024-08-06
South,Product B,29,14,2024-08-07
East,Product B,87,9,2024-08-08
South,Product A,11,19,2024-08-09
East,Product A,82,15,2024-08-10
West,Product C,46,14,2024-08-11
North,Product D,29,6,2024-08-12
North,Product D,35,4,2024-08-13
West,Product C,38,8,2024-08-14
North,Product D,10,17,2024-08-15
West,Product D,44,9,2024-08-16
West,Product D,79,1,2024-08-17
West,Product D,68,14,2024-08-18
North,Product D,78,11,2024-08-19
East,Product A,42,3,2024-08-20
West,Product D,60,9,2024-08-21
South,Product A,87,14,2024-08-22
North,Product D,21,9,2024-08-23
West,Product C,29,4,2024-08-24
West,Product B,62,4,2024-08-25
South,Product A,97,8,2024-08-26
East,Product D,52,2,2024-08-27
East,Product C,98,9,2024-08-28
East,Product B,59,14,2024-08-29
West,Product A,38,9,2024-08-30
West,Product B,66,16,2024-08-31
West,Product C,48,17,2024-09-01
North,Product A,65,16,2024-09-02
South,Product B,52,12,2024-09-03
West,Product D,59,3,2024-09-04
South,Product A,32,11,2024-09-05
South,Product B,53,14,2024-09-06
East,Product C,47,18,2024-09-07
North,Product C,93,5,2024-09-08
West,Product A,32,16,2024-09-09
East,Product B,54,5,2024-09-10
East,Product A,61,3,2024-09-11
West,Product A,89,12,2024-09-12
South,Product B,59,1,2024-09-13
East,Product B,17,9,2024-09-14
South,Product D,94,9,2024-09-15
North,Product B,10,4,2024-09-16
South,Product C,17,3,2024-09-17
North,Product A,38,17,2024-09-18
South,Product A,14,2,2024-09-19
East,Product C,95,1,2024-09-20
East,Product B,56,8,2024-09-21
North,Product C,43,13,2024-09-22
West,Product C,74,15,2024-09-23
North,Product D,64,8,2024-09-24
North,Product C,99,12,2024-09-25
South,Product A,52,12,2024-09-26
South,Product C,83,14,2024-09-27
North,Product A,39,15,2024-09-28
East,Product A,91,15,2024-09-29
South,Product A,26,9,2024-09-30
West,Product B,35,19,2024-10-01
South,Product D,17,8,2024-10-02
South,Product A,56,19,2024-10-03
West,Product A,85,6,2024-10-04
North,Product B,81,19,2024-10-05
West,Product A,98,4,2024-10-06
North,Product C,55,7,2024-10-07
North,Product C,77,4,2024-10-08
North,Product D,42,12,2024-10-09
West,Product A,10,13,2024-10-10
North,Product B,28,3,2024-10-11
East,Product C,40,12,2024-10-12
West,Product B,89,2,2024-10-13
East,Product B,23,2,2024-10-14
North,Product C,62,9,2024-10-15
South,Product B,57,1,2024-10-16
North,Product C,78,8,2024-10-17
East,Product B,99,6,2024-10-18
East,Product C,71,6,2024-10-19
West,Product A,75,18,2024-10-20
South,Product D,73,17,2024-10-21
West,Product C,79,12,2024-10-22
East,Product C,72,6,2024-10-23
North,Product D,82,8,2024-10-24
South,Product C,42,19,2024-10-25
North,Product C,50,10,2024-10-26
North,Product B,98,1,2024-10-27
South,Product D,57,13,2024-10-28
West,Product A,22,17,2024-10-29
North,Product C,82,3,2024-10-30
East,Product D,86,8,2024-10-31
North,Product B,40,14,2024-11-01
South,Product A,84,3,2024-11-02
South,Product D,77,16,2024-11-03
South,Product A,13,13,2024-11-04
West,Product A,28,17,2024-11-05
North,Product A,79,13,2024-11-06
West,Product C,91,6,2024-11-07
West,Product C,22,17,2024-11-08
South,Product B,32,14,2024-11-09
South,Product B,92,17,2024-11-10
West,Product D,84,8,2024-11-11
North,Product B,10,11,2024-11-12
East,Product A,97,1,2024-11-13
West,Product A,63,7,2024-11-14
North,Product C,80,17,2024-11-15
South,Product A,98,10,2024-11-16
South,Product D,94,11,2024-11-17
North,Product A,24,9,2024-11-18
East,Product A,74,9,2024-11-19
South,Product D,85,5,2024-11-20
South,Product B,80,17,2024-11-21
South,Product B,24,9,2024-11-22
North,Product D,30,17,2024-11-23
West,Product C,28,19,2024-11-24
South,Product A,69,7,2024-11-25
West,Product D,98,9,2024-11-26
East,Product A,42,7,2024-11-27
South,Product C,58,13,2024-11-28
South,Product A,44,11,2024-11-29
East,Product D,53,14,2024-11-30
South,Product A,99,19,2024-12-01
West,Product B,20,11,2024-12-02
North,Product C,81,13,2024-12-03
West,Product C,87,14,2024-12-04
North,Product C,83,13,2024-12-05
North,Product D,75,1,2024-12-06
West,Product C,55,8,2024-12-07
West,Product B,18,12,2024-12-08
West,Product D,12,19,2024-12-09
West,Product B,94,12,2024-12-10
East,Product A,35,8,2024-12-11
South,Product A,81,8,2024-12-12
North,Product A,57,13,2024-12-13
West,Product A,75,12,2024-12-14
West,Product B,79,16,2024-12-15
West,Product D,37,1,2024-12-16
East,Product D,35,13,2024-12-17
West,Product C,34,7,2024-12-18
West,Product B,21,5,2024-12-19
West,Product A,14,8,2024-12-20
South,Product B,57,14,2024-12-21
East,Product C,46,13,2024-12-22
West,Product C,88,15,2024-12-23
North,Product B,53,17,2024-12-24
North,Product B,24,15,2024-12-25
North,Product B,52,18,2024-12-26
East,Product D,57,18,2024-12-27
East,Product A,96,2,2024-12-28
North,Product B,79,4,2024-12-29
West,Product B,55,1,2024-12-30
East,Product B,52,4,2024-12-31
North,Product C,30,18,2025-01-01
North,Product C,32,5,2025-01-02
West,Product D,89,19,2025-01-03
South,Product A,56,15,2025-01-04
East,Product D,24,8,2025-01-05
West,Product A,34,17,2025-01-06
North,Product C,45,1,2025-01-07
North,Product C,84,12,2025-01-08
West,Product C,60,19,2025-01-09
East,Product D,24,15,2025-01-10
South,Product B,77,9,2025-01-11
South,Product B,30,7,2025-01-12
North,Product C,22,2,2025-01-13
East,Product B,95,9,2025-01-14
South,Product B,28,10,2025-01-15
East,Product D,43,2,2025-01-16
East,Product A,87,19,2025-01-17
North,Product C,77,11,2025-01-18
South,Product C,61,13,2025-01-19
West,Product D,36,10,2025-01-20
North,Product D,38,14,2025-01-21
South,Product B,37,18,2025-01-22
South,Product C,44,19,2025-01-23
South,Product A,17,9,2025-01-24
South,Product D,25,7,2025-01-25
South,Product A,45,3,2025-01-26
East,Product A,39,6,2025-01-27
North,Product C,27,2,2025-01-28
East,Product C,11,6,2025-01-29
West,Product D,58,3,2025-01-30
South,Product C,86,16,2025-01-31
North,Product C,13,8,2025-02-01
South,Product C,99,2,2025-02-02
North,Product A,98,17,2025-02-03
East,Product D,84,9,2025-02-04
North,Product B,16,12,2025-02-05
West,Product A,83,3,2025-02-06
West,Product C,48,11,2025-02-07
North,Product A,22,1,2025-02-08
North,Product C,40,13,2025-02-09
North,Product C,80,15,2025-02-10
North,Product A,72,5,2025-02-11
West,Product D,65,17,2025-02-12
South,Product C,51,6,2025-02-13
North,Product D,70,11,2025-02-14
North,Product B,51,18,2025-02-15
West,Product C,65,4,2025-02-16
West,Product D,45,3,2025-02-17
East,Product D,93,13,2025-02-18
North,Product B,77,9,2025-02-19
East,Product D,16,6,2025-02-20
West,Product D,63,12,2025-02-21
West,Product B,10,2,2025-02-22
South,Product C,53,3,2025-02-23
North,Product D,54,3,2025-02-24
East,Product D,56,12,2025-02-25
West,Product D,22,15,2025-02-26
West,Product A,31,9,2025-02-27
East,Product B,30,8,2025-02-28
South,Product A,95,11,2025-03-01
West,Product B,18,16,2025-03-02
North,Product C,35,4,2025-03-03
West,Product C,18,1,2025-03-04
North,Product D,24,7,2025-03-05
East,Product B,19,2,2025-03-06
North,Product C,97,5,2025-03-07
East,Product B,51,7,2025-03-08
North,Product C,81,4,2025-03-09
East,Product A,33,5,2025-03-10
North,Product C,89,1,2025-03-11
South,Product A,58,1,2025-03-12
North,Product C,35,15,2025-03-13
North,Product D,46,19,2025-03-14
South,Product A,77,10,2025-03-15
West,Product C,59,18,2025-03-16
West,Product D,33,3,2025-03-17
North,Product A,28,11,2025-03-18
South,Product D,69,15,2025-03-19
North,Product B,48,11,2025-03-20
East,Product B,83,17,2025-03-21
East,Product A,98,17,2025-03-22
North,Product C,27,6,2025-03-23
West,Product A,28,5,2025-03-24
West,Product D,45,8,2025-03-25
North,Product C,83,2,2025-03-26
North,Product B,64,16,2025-03-27
East,Product C,78,12,2025-03-28
West,Product B,56,6,2025-03-29
North,Product C,58,1,2025-03-30
East,Product C,42,4,2025-03-31
